ref_data_type|ref_data_code|ref_data_desc
hit_location|8XD|center field extra deep
hit_location|9LD|right field line deep
hit_location|9LF|right field line foul
hit_location|9LS|right field line short
hit_location|13|inside infield down first base line
hit_location|15|inside infield down third base line
hit_location|1S|catcher pitcher short
hit_location|23|catcher first
hit_location|25|catcher third
hit_location|2F|catcher foul
hit_location|34|through first base second base hole
hit_location|3D|first base deep
hit_location|3F|first base foul
hit_location|3S|first base short
hit_location|4D|second base deep
hit_location|4M|second base middle
hit_location|4S|second base short
hit_location|56|through shortstop third base hole
hit_location|5D|third base deep
hit_location|5F|third base foul
hit_location|5S|third base short
hit_location|6D|short stop deep
hit_location|6M|short stop middle
hit_location|6S|short stop short
hit_location|78|left center
hit_location|7D|left field deep
hit_location|7L|left field line drive
hit_location|7S|left field short
hit_location|89|center right
hit_location|8D|center field deep
hit_location|8S|center field short
hit_location|9D|right field deep
hit_location|9L|right field line drive
hit_location|9S|right field short
hit_location|1|pitcher
hit_location|2|home plate
hit_location|3|first base
hit_location|4|second base
hit_location|5|third base
hit_location|6|short stop
hit_location|7|left field
hit_location|8|center field
hit_location|9|right field
hit_code|S|single
hit_code|D|double
hit_code|T|triple
hit_code|H|home run
hit_code|HR|home run
hit_value|0|no hit
hit_value|1|single
hit_value|2|double
hit_value|3|triple
hit_value|4|home run
event_type|1|no play|NP
event_type|2|out|O
event_type|3|strike out|K
event_type|4|stolen base|SB
event_type|5|defensive indifference
event_type|6|caught stealing|CS
event_type|7|pickoff error
event_type|8|pick off|PO
event_type|POCS|pick off caught stealing
event_type|9|wild pitch|WP
event_type|10|passed ball|PB
event_type|11|balk|BK
event_type|12|other advance
event_type|13|foul ball error|FLE
event_type|14|walk|2
event_type|15|intential walk|IW|I
event_type|16|hit by pitch|HP
event_type|17|interference|C
event_type|18|error|E
event_type|19|fielders choice|FC
event_type|20|single|S
event_type|21|double|D
event_type|22|triple|T
event_type|23|home run|HR
event_type|24|missing play
event_type|DGR|ground rule double
event_type|DI|defensive indifference - no attempt to prevent stolen base
event_type|OA|base runner advance not covered by other codes - see comments
event_play_on_runner|B|batter
event_play_on_runner|1|runner on first
event_play_on_runner|2|runner on second
event_play_on_runner|3|runner on third
icon|icon_path|c:/users/msunk/documents/Visual Studio 2017/retrosheet/retrosheet/icons/
icon|MLB|LK-MLB.gif
icon|A|AmericanLeague.gif
icon|N|NationalLeague.gif
icon|ANA|LK-Anaheim_Angels.gif
icon|BAL|LK-Baltimore_Orioles.gif
icon|BOS|Boston_Red_Sox.ico
icon|CHA|LK-Chicago_White_Sox.gif
icon|CLE|LK-Cleveland_Indians.gif
icon|DET|LK-Detroit_Tigers.gif
icon|HOU|LK-Houston_Astros.gif
icon|KCA|LK-Kansas_City_Royals.gif
icon|MIN|LK-Minnesota_Twins.gif
icon|NYA|New_York_Yankees.ico
icon|OAK|Oakland_Athletics.ico
icon|SEA|LK-Seattle_Mariners.gif
icon|TBA|LK-Tampa_Bay_Devil_Rays.gif
icon|TEX|LK-Texas_Rangers.gif
icon|TOR|LK-Toronto_Blue_Jays.gif
icon|ARI|LK-Arizona_Diamond_Backs.gif
icon|ATL|LK-Atlanta_Braves.gif
icon|CHN|LK-Chicago_Cubs.gif
icon|CIN|LK-Cincinnati_Reds.gif
icon|COL|LK-Colorado_Rockies.gif
icon|LAN|LK-Los_Angeles_Dodgers.gif
icon|MIA|LK-Florida_Marlins.gif
icon|MIL|LK-Milwaukee_Brewers.gif
icon|NYN|LK-New_York_Mets.gif
icon|PHI|LK-Philadelphia_Phillies.gif
icon|PIT|LK-Pittsburgh_Pirates.gif
icon|SDN|LK-San_Diego_Padres.gif
icon|SFN|LK-San_Francisco_Giants.gif
icon|SLN|LK-St_Louis_Cardinals.gif
icon|WAS|LK-Washington_Nationals.gif
icon|MON|Montreal_Expos.gif
icon|CAL|California_Angels.gif
hit_diagram|78XD|78XD.jpg
hit_diagram|7LDF|7LDF.jpg
hit_diagram|7LSF|7LSF.jpg
hit_diagram|89XD|89XD.jpg
hit_diagram|9LDF|9LDF.jpg
hit_diagram|9LSF|9LSF.jpg
hit_diagram|23F|23F.jpg
hit_diagram|25F|25F.jpg
hit_diagram|34D|34D.jpg
hit_diagram|34S|34S.jpg
hit_diagram|3DF|3DF.jpg
hit_diagram|4MD|4MD.jpg
hit_diagram|4MS|4MS.jpg
hit_diagram|56D|56D.jpg
hit_diagram|56S|56S.jpg
hit_diagram|5DF|5DF.jpg
hit_diagram|6MD|6MD.jpg
hit_diagram|6MS|6MS.jpg
hit_diagram|78D|78D.jpg
hit_diagram|78S|78S.jpg
hit_diagram|7LD|7LD.jpg
hit_diagram|7LF|7LF.jpg
hit_diagram|7LS|7LS.jpg
hit_diagram|89D|89D.jpg
hit_diagram|89S|89S.jpg
hit_diagram|8XD|8XD.jpg
hit_diagram|9LD|9LD.jpg
hit_diagram|9LF|9LF.jpg
hit_diagram|9LS|9LS.jpg
hit_diagram|13|13.jpg
hit_diagram|15|15.jpg
hit_diagram|1S|1S.jpg
hit_diagram|23|23.jpg
hit_diagram|25|25.jpg
hit_diagram|2F|2F.jpg
hit_diagram|34|34.jpg
hit_diagram|3D|3D.jpg
hit_diagram|3F|3F.jpg
hit_diagram|3S|3S.jpg
hit_diagram|4D|4D.jpg
hit_diagram|4M|4M.jpg
hit_diagram|4S|4S.jpg
hit_diagram|56|56.jpg
hit_diagram|5D|5D.jpg
hit_diagram|5F|5F.jpg
hit_diagram|5S|5S.jpg
hit_diagram|6D|6D.jpg
hit_diagram|6M|6M.jpg
hit_diagram|6S|6S.jpg
hit_diagram|78|78.jpg
hit_diagram|7D|7D.jpg
hit_diagram|7L|7L.jpg
hit_diagram|7S|7S.jpg
hit_diagram|89|89.jpg
hit_diagram|8D|8D.jpg
hit_diagram|8S|8S.jpg
hit_diagram|9D|9D.jpg
hit_diagram|9L|9L.jpg
hit_diagram|9S|9S.jpg
hit_diagram|1|1.jpg
hit_diagram|2|2.jpg
hit_diagram|3|3.jpg
hit_diagram|4|4.jpg
hit_diagram|5|5.jpg
hit_diagram|6|6.jpg
hit_diagram|7|7.jpg
hit_diagram|8|8.jpg
hit_diagram|9|9.jpg
error_type|F|fielding
error_type|D|dropped ball
error_type|T|throwing
error_type|N|no error
runner_destination|0|
runner_destination|1|first base
runner_destination|2|second base
runner_destination|3|third base
runner_destination|4|home
runner_destination|5|home / unearned
runner_destination|6|team unearned
top_bottom|0|↑
top_bottom|1|↓
game_data_type|er|earned runs
