"NLS198207130","ALS",2,0,1,0,0,"",1,0,"fiskc001","R","fiskc001","R","roges001","R","roges001","R","cartg001","rosep001","trilm001","schmm001","concd001","raint001","dawsa001","murpd001","","","","8/F","F","F",2,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",8,"F","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"8","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,8,0,0,0,0,0,0,0,12
"NLS198207130","ALS",2,0,2,0,0,"",1,0,"ecked001","R","ecked001","R","roges001","R","roges001","R","cartg001","rosep001","trilm001","schmm001","concd001","raint001","dawsa001","murpd001","","","","43","F","F",1,9,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,13
"NLS198207130","ALS",2,1,0,0,0,"",1,0,"schmm001","R","schmm001","R","ecked001","R","ecked001","R","fiskc001","coopc001","gricb001","bretg001","younr001","hendr001","lynnf001","jackr001","","","","2/FL","T","F",5,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",2,"F","F","T","",0,0,"N",0,"N",0,"N",0,0,0,0,"2","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,14
"NLS198207130","ALS",2,1,1,0,0,"",1,0,"cartg001","R","cartg001","R","ecked001","R","ecked001","R","fiskc001","coopc001","gricb001","bretg001","younr001","hendr001","lynnf001","jackr001","","","","43","F","F",2,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,15
"NLS198207130","ALS",2,1,2,0,0,"",1,0,"murpd001","R","murpd001","R","ecked001","R","ecked001","R","fiskc001","coopc001","gricb001","bretg001","younr001","hendr001","lynnf001","jackr001","","","","W","F","F",9,6,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,16
"NLS198207130","ALS",2,1,2,0,0,"",1,0,"concd001","R","concd001","R","ecked001","R","ecked001","R","fiskc001","coopc001","gricb001","bretg001","younr001","hendr001","lynnf001","jackr001","murpd001","","","HR/7LD.1-H","F","F",6,7,23,"T","T",4,"F","F",0,"F","F",2,"F","F",0,"","F","F","7LD",0,0,"N",0,"N",0,"N",4,4,0,0,"","","","","F","F","F","F","F","F","F","F","F","ecked001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,17
"NLS198207130","ALS",2,1,2,0,0,"",1,2,"trilm001","R","trilm001","R","ecked001","R","ecked001","R","fiskc001","coopc001","gricb001","bretg001","younr001","hendr001","lynnf001","jackr001","","","","63","F","F",4,8,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"63","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,6,0,0,0,0,18
"NLS198207130","ALS",3,0,0,0,0,"",1,2,"hendr001","R","hendr001","R","roges001","R","roges001","R","cartg001","rosep001","trilm001","knigr001","concd001","raint001","dawsa001","murpd001","","","","53","T","F",7,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",5,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"53","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,5,0,0,0,0,19
"NLS198207130","ALS",3,0,1,0,0,"",1,2,"lynnf001","L","lynnf001","L","roges001","R","roges001","R","cartg001","rosep001","trilm001","knigr001","concd001","raint001","dawsa001","murpd001","","","","3/G","F","F",8,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,20
"NLS198207130","ALS",3,0,2,0,0,"",1,2,"bretg001","L","bretg001","L","roges001","R","roges001","R","cartg001","rosep001","trilm001","knigr001","concd001","raint001","dawsa001","murpd001","","","","S8","F","F",5,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,21
