"CLE201610140","TOR",2,0,1,1,2,"BCSX",0,0,"travd001","R","travd001","R","klubc001","R","klubc001","R","perer003","napom001","kipnj001","ramij003","lindf001","crisc001","naqut001","chisl001","pillk001","saunm001","","64(1)3/GDP","F","F",4,9,2,"T","T",0,"F","F",2,"T","F",0,"F","F",6,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,2,0,"43","64","","","F","F","F","F","F","F","F","F","F","klubc001","klubc001","","F","F","F","F","F","","","","",0,4,3,0,6,4,0,0,0,12
"CLE201610140","TOR",2,1,0,2,2,"SBSBX",0,0,"napom001","R","napom001","R","estrm001","R","estrm001","R","martr004","encae001","travd001","donaj001","tulot001","carre001","pillk001","bautj002","","","","3/G+","T","F",3,4,2,"T","T",0,"F","F",1,"F","F",0,"F","F",3,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"3","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,0,0,0,0,0,13
"CLE201610140","TOR",2,1,1,1,2,"CCBFX",0,0,"ramij003","L","ramij003","L","estrm001","R","estrm001","R","martr004","encae001","travd001","donaj001","tulot001","carre001","pillk001","bautj002","","","","43/G+","F","F",5,5,2,"T","T",0,"F","F",1,"F","F",0,"F","F",4,"G","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"43","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,4,0,0,0,0,14
"CLE201610140","TOR",2,1,2,0,1,"FX",0,0,"chisl001","L","chisl001","L","estrm001","R","estrm001","R","martr004","encae001","travd001","donaj001","tulot001","carre001","pillk001","bautj002","","","","S8/G+","F","F",9,6,20,"T","T",1,"F","F",0,"F","F",0,"F","F",8,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,15
"CLE201610140","TOR",2,1,2,0,0,"X",0,0,"crisc001","L","crisc001","L","estrm001","R","estrm001","R","martr004","encae001","travd001","donaj001","tulot001","carre001","pillk001","bautj002","chisl001","","","9/L","F","F",7,7,2,"T","T",0,"F","F",1,"F","F",0,"F","F",9,"L","F","F","",0,0,"N",0,"N",0,"N",0,1,0,0,"9","","","","F","F","F","F","F","F","F","F","F","estrm001","","","F","F","F","F","F","","","","",0,9,0,0,0,0,0,0,0,16
"CLE201610140","TOR",3,0,0,1,2,"BSCX",0,0,"carre001","L","carre001","L","klubc001","R","klubc001","R","perer003","napom001","kipnj001","ramij003","lindf001","crisc001","naqut001","chisl001","","","","13/BG","T","F",7,1,2,"T","T",0,"F","F",1,"F","F",0,"F","F",1,"G","T","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"13","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,3,0,0,1,0,0,0,0,17
"CLE201610140","TOR",3,0,1,0,1,"SX",0,0,"donaj001","R","donaj001","R","klubc001","R","klubc001","R","perer003","napom001","kipnj001","ramij003","lindf001","crisc001","naqut001","chisl001","","","","6/P","F","F",5,2,2,"T","T",0,"F","F",1,"F","F",0,"F","F",6,"P","F","F","",0,0,"N",0,"N",0,"N",0,0,0,0,"6","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,6,0,0,0,0,0,0,0,18
"CLE201610140","TOR",3,0,2,0,2,"CSX",0,0,"encae001","R","encae001","R","klubc001","R","klubc001","R","perer003","napom001","kipnj001","ramij003","lindf001","crisc001","naqut001","chisl001","","","","S7/G","F","F",3,3,20,"T","T",1,"F","F",0,"F","F",0,"F","F",7,"G","F","F","",0,0,"N",0,"N",0,"N",1,0,0,0,"","","","","F","F","F","F","F","F","F","F","F","","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,19
"CLE201610140","TOR",3,0,2,3,0,"BBBB",0,0,"bautj002","R","bautj002","R","klubc001","R","klubc001","R","perer003","napom001","kipnj001","ramij003","lindf001","crisc001","naqut001","chisl001","encae001","","","W.1-2","F","F",9,4,14,"T","F",0,"F","F",0,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",1,2,0,0,"","","","","F","F","F","F","F","F","F","F","F","klubc001","","","F","F","F","F","F","","","","",0,0,0,0,0,0,0,0,0,20
"CLE201610140","TOR",3,0,2,1,2,"C*BFS",0,0,"martr004","R","martr004","R","klubc001","R","klubc001","R","perer003","napom001","kipnj001","ramij003","lindf001","crisc001","naqut001","chisl001","bautj002","encae001","","K","F","F",2,5,3,"T","T",0,"F","F",1,"F","F",0,"F","F",0,"","F","F","",0,0,"N",0,"N",0,"N",0,1,2,0,"2","","","","F","F","F","F","F","F","F","F","F","klubc001","klubc001","","F","F","F","F","F","","","","",0,2,0,0,0,0,0,0,0,21
